1129,2522,U
8088,7786,U
6984,3605,F
4649,7527,F
1892,4327,F
4619,4422,F
2311,3050,U
6325,9055,H
8371,7301,F
6339,8817,U
8783,4273,F
7301,9393,F
6361,3217,U
4826,7807,F
7035,3374,F
5385,5888,F
8158,8060,F
5011,6236,F
1108,1725,U
1388,1787,U
4305,6350,U
4841,8473,F
7251,8552,H
7917,5219,F
3454,8197,F
2758,3740,F
6609,3592,U
5746,7709,U
2932,5376,U
3974,7382,U
2631,2737,F
1717,2789,F
4888,6643,U
6995,4463,F
723,3192,U
3035,9346,U
4278,2366,F
5899,3286,U
7085,4524,U
1485,6655,U
4604,8915,U
5357,4278,F
4793,3625,U
2419,1688,U
8944,5626,U
5452,2736,U
658,2560,U
5136,2954,F
4664,6320,U
7199,3319,U
1231,8082,U
5839,7748,F
5211,5040,U
2077,4260,U
4446,8556,U
6100,3322,U
4684,8456,F
6902,8746,H
972,5125,U
3634,4909,F
3905,3121,U
2030,8292,U
9297,7201,U
7007,5361,H
6992,7684,F
8026,5206,F
6517,7069,H
4374,8037,U
2055,5007,F
6543,3725,U
1348,4808,F
5034,4346,U
2470,8196,H
8716,8076,F
8247,6122,F
5914,1748,F
3966,4821,F
7131,3677,U
2548,6280,U
997,2115,U
1478,5524,U
841,1568,U
7301,3678,F
6905,8019,F
9134,6251,F
826,4742,U
7179,9171,F
1540,7038,U
998,3976,U
3361,4908,F
2925,2231,F
4971,4505,F
2323,3418,U
3579,7211,F
2953,4970,F
1738,2978,U
1335,9200,F
7320,8141,F
3820,8654,F
8431,6041,U
2739,1866,F
1390,3627,U
7911,7121,F
5200,5563,U
1663,3677,F
3125,2947,F
7176,1885,U
7883,7646,F
6922,4240,U
7678,7127,F
7029,9448,H
1745,5128,F
5721,5630,U
3587,8431,F
3871,7439,H
1775,4411,F
953,3219,F
2674,6727,U
3156,6355,U
2706,2807,F
5480,2082,U
8388,7425,F
812,4124,F
2089,7263,F
8913,6343,U
5744,9491,H
1856,2749,F
2841,6435,U
5557,5592,U
5244,3589,U
8139,2005,F
6129,9252,H
6543,4095,U
6243,2282,F
6238,1621,U
894,7021,U
643,2234,U
6663,6407,U
4974,2864,U
3003,4355,U
8506,5516,U
6130,6743,H
2566,5451,F
8788,3440,U
1780,3043,U
1243,8661,U
6854,7810,F
6123,6904,F
1389,7213,U
6370,5863,U
6626,6135,F
652,4153,U
5500,3654,F
5819,7536,U
8138,3884,U
7293,5133,H
5514,2156,U
807,7506,U
4312,1784,F
1738,6757,U
8217,5920,U
2863,9011,H
8698,7524,U
7483,8795,U
1192,1766,U
6151,4918,U
7227,2937,U
893,5301,U
1497,8066,F
5886,7193,F
8326,3679,F
961,3595,F
6663,2735,F
6008,3644,U
7231,2948,F
3920,7645,H
8284,3518,U
1652,7359,U
2791,5208,U
5524,7436,H
2885,5491,U
3202,5094,F
7014,8901,H
7783,2083,F
4059,4281,U
7355,7707,F
1729,6906,U
5213,1912,U
6681,6706,U
4321,9241,U
892,7073,U
740,8667,U
772,4027,F
7720,5216,F
6164,7919,F
7204,9429,U
6653,9437,H
2365,6763,U
4201,2749,F
6278,3986,U
2162,6013,U
6816,6128,H
5400,2743,F
4445,5704,U
2612,7586,F
3504,3578,U
3152,5377,F
568,6831,U
4461,7135,H
3577,7809,U
4397,2537,F
2272,5205,F
821,5141,U
2038,5444,F
7372,4332,F
7632,2185,F
9169,6261,U
3258,5543,U
7181,7052,F
7524,6664,H
1471,6949,U
7983,3067,F
7390,7191,F
1964,9289,F
1240,6838,U
4738,5434,U
4454,5730,U
7998,7191,F
4620,7923,F
2842,8406,H
6961,7075,F
2159,4069,F
1455,7483,U
5687,8387,U
2465,4313,U
5465,7679,H
5781,6879,F
5341,6556,H
5197,6714,H
2192,5502,U
6093,3812,U
2561,8464,F
8628,8517,H
1644,4157,F
5219,8599,F
3675,9150,F
6995,7291,U
6118,6728,F
7898,8697,H
5874,8503,F
7152,4208,F
1427,4195,F
1091,9093,F
1445,3005,U
4783,8674,F
8291,9336,H
3360,2647,F
2281,7245,F
1719,2116,U
4574,4645,F
2980,4612,F
4019,4418,U
8810,7536,F
1386,3173,U
2749,5826,F
4631,4470,U
3489,6896,U
849,6902,U
772,5235,U
4863,4623,F
1790,7836,F
3869,9401,F
